Nhãn,Name,Numbers of Comment,Features,Rating,Numbers of Rating,Price,Loại card đồ họa,Loại CPU,Dung lượng RAM,Loại RAM,Số khe ram,Ổ cứng,Chất liệu,Bảo mật,Màn hình cảm ứng,Chất liệu tấm nền,Kích thước màn hình,Độ phân giải màn hình,Công nghệ màn hình,Webcam,Khe đọc thẻ nhớ,Hệ điều hành,Wi-Fi,Bluetooth,Công nghệ âm thanh,Tính năng đặc biệt,Pin,Kích thước,Trọng lượng,Cổng giao tiếp,Tần số quét,Loại đèn bàn phím,Hãng sản xuất,Unnamed: 34,Unnamed: 5,Loại màn hình,Unnamed: 31,Socket,Độ phân giải
Van phong,Laptop Huawei Matebook D15,0,"Màn hình 15.6 inch Full HD cùng tấm nền IPS cho chất lượng hình chính xác và sống động
Cảm biến vân tay tích hợp chỉ cần một chạm để mở máy tính
CPU AMD Ryzen R7-5700U mọi tác vụ văn phòng, học tập được giải quyết chỉ trong một nốt nhạc
RAM 8GB chuẩn DDR4 hỗ trợ mở hàng chục tabs duyệt web cùng lúc mà không lo lag, giật
Ổ cứng 512GB SSD cho không gian lưu trữ rộng rãi, thoải mái
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop Asus VivoBook 14 OLED M1405YA-KM047W - Chỉ có tại CellphoneS,5,"Sở hữu thiết kế sang trọng với gam màu bạc tinh tế
Màn hình OLED 14 inch WQXGA cho trải nghiệm hình ảnh cực sắc nét
CPU AMD Ryzen 5 7530U mạnh mẽ cân mọi tác vụ nặng nhẹ
RAM 8GB kết hợp ổ cứng 512 GB SSD cho tốc độ mở máy, mở ứng dụng nhanh chóng
Máy tích hợp bảo mật vân tay giúp mở máy chỉ trong tích tắc
",5.0/5,1.0,15.490.000 đ,AMD Radeon Graphics,"AMD Ryzen 5 7530U (6 lõi / 12 luồng, 16MB cache, up to 4.3 GHz max boost)",8GB,DDR4 Onboard,1 khe mở rộng ram tối đa 8gb,512GB M.2 NVMe PCIe 3.0 SSD,Vỏ nhựa,"McAfee LiveSafe 30 ngày dùng thử miễn phí
Cảm biến vân tay tích hợp với Touchpad
McAfee LiveSafe
BIOS Booting bảo vệ mật khẩu người dùng
Mô-đun nền tảng đáng tin cậy (Firmware TPM)",Không,Tấm nền OLED/AMOLED,14 inches,2880 x 1800 pixels,"Thời gian phản hồi 0.2ms
Độ sáng tối đa 600nits HDR
Độ phủ màu 100% DCI-P3
HDR True Black 600
1.07 tỷ màu
SGS Eye Care Display",720p HD với màn trập camera,,Windows 11 Home,Wi-Fi 6E (802.11ax) (Dual band) 1*1,Bluetooth 5,"SonicMaster
Loa tích hợp
Micrô mảng tích hợp","Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay","50WHrs, 3S1P, 3-cell Li-ion",31.71 x 22.20 x 1.99 ~ 1.99 cm (W x H x D),1.60 kg,"1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-C (Sạc)
2x USB 3.2 Gen 1 Type-A
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x DC-in",90Hz,,,,,,,,
Sinh vien,Laptop Lenovo IdeaPad 3 14ITL6 82H701QYVN,15,"Màn hình 14 inch Full HD cho hình ảnh sắc nét, màu sắc chân thực
CPU Intel Core i5-1155G7 giải quyết mọi tác vụ Office như Word, Excel, PowerPoint,...
RAM 16 GB hỗ trợ mở mượt mà trên 10 tab Chrome cùng lúc
Trang bị đầy đủ cổng kết nối USB 3.2, HDMI, USB 2.0, USB Type-C,... giúp bạn dễ dàng kết nối với mọi thiết bị tương thích
Mang thiết kế thanh lịch, tao nhã với cân nặng chỉ nhẹ vỏn vẹn 1.41 kg
",,,13.490.000 đ,,"Intel Core i5-1155G7 (4 lõi / 8 luồng, 2.5 / 4.5GHz, 8MB)",16GB,DDR4-3200,2 khe nâng cấp tối đa 16GB (8GB Onboard + 8GB SO-DIMM),512GB SSD M.2 2242 PCIe 4.0x4 NVMe,Vỏ nhựa,Firmware TPM 2.0,Không,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),"Màn hình chống chói
Độ sáng 300nits",HD 720p với màn trập camera,Có,Windows 11 Home Single Language,Wi-Fi 11ac 2x2,Bluetooth 5.0,"Âm thanh độ phân giải cao (HD)
Realtek ALC3287 codec
Stereo speakers, 1.5W x2
Dolby Audio","Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay",45Wh,324.2 x 215.7 x 19.9 mm (W x D x H),1.41 kg,"1x USB 2.0
1x USB 3.2 Gen 1
1x USB-C 3.2 Gen 1 (chỉ hỗ trợ truyền dữ liệu)
1x HDMI 1.4b
1x Đầu đọc thẻ
1x Headphone / microphone combo jack (3.5mm)
1x Đầu nối nguồn",,,,,,,Intel Iris Xe Graphics,,
Sinh vien,Laptop Lenovo IdeaPad 3 14ITL6 82H701QVVN,9,"Sở hữu màn hình 14 inch Full HD, cùng độ sáng 300nits dễ dàng làm việc ở mọi nơi
CPU Intel Core i7-1165G7 giải quyết mọi tác vụ văn phòng, học tập
Dung lượng RAM 16 GB hỗ trợ mở mượt mà trên 10 tab Chrome cùng lúc
Ổ cứng 512GB SSD rộng rãi, hỗ trợ lưu tài liệu, lưu phim, ảnh thoải mái
Mang thiết kế thanh lịch, tao nhã với cân nặng chỉ nhẹ vỏn vẹn 1.41 kg
",,,15.490.000 đ,Intel Iris Xe Graphics,"Intel Core i7-1165G7 (4 lõi / 8 luồng, 2.8 / 4.7GHz, 12MB)",16GB,DDR4-3200,2 khe nâng cấp tối đa 16GB (8GB Onboard + 8GB SO-DIMM),512GB SSD M.2 2242 PCIe 4.0x4 NVMe,Vỏ nhựa,Firmware TPM 2.0,Không,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),"Màn hình chống chói
Độ sáng 300nits",HD 720p với màn trập camera,Có,Windows 11 Home Single Language,Wi-Fi 11ac 2x2,Bluetooth 5.0,"Âm thanh độ phân giải cao (HD)
Realtek ALC3287 codec
Stereo speakers, 1.5W x2
Dolby Audio","Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay",45Wh,324.2 x 215.7 x 19.9 mm (W x D x H),1.41 kg,"1x USB 2.0
1x USB 3.2 Gen 1
1x USB-C 3.2 Gen 1 (chỉ hỗ trợ truyền dữ liệu)
1x HDMI 1.4b
1x Đầu đọc thẻ
1x Headphone / microphone combo jack (3.5mm)
1x Đầu nối nguồn",,,,,,,,,
Sinh vien,Laptop Dell Latitude 7280,0,"Trang bị con chip Intel Core i5 - 6200U cùng card Intel HD Graphics cho bạn xử lý ổn thỏa các tác vụ văn phòng
RAM 8GB cùng SSD 240GB cho bạn mở ổn thỏa nhiều tab nhưng không lo giật lag
Màn hình 12.5 inch Full HD giúp bạn xem hình ảnh, video một cách ổn thỏa
Trọng lượng laptop mỏng nhẹ chỉ 1.18kg giúp bạn thoải mái mang theo bên mình
",,,Giá Liên Hệ,,Intel Core i5 - 6200U,8GB,,,240GB SSD,,,Không,,12.5 inches,1920 x 1080 pixels (FullHD),,,,,,,,Ổ cứng SSD,,,1.18 kg,"1 x USB C
1 x Đầu đọc thẻ nhớ uSD 4.0 2
1 x USB 3.1
1 x HDMI
1 x RJ-45
1 x External uSIM",,,Dell,,,,Intel HD Graphics,,
Van phong,Laptop Dell Inspiron 7425,1,"Sở hữu CPU MD Ryzen 5-5625U giúp bạn giải quyết ổn thỏa các tác vụ văn phòng
Màn hình 14 inch cùng độ phân giải Full HD cho phép hiển thị hình ảnh đặc sắc, chân thật
Ổ cứng SSD 512GB cùng RAM 8GB cho bạn thỏa thích mở nhiều tab cùng khởi động nhanh máy tính, ứng dụng
Màn hình gập kèm tính năng cảm ứng giúp bạn dễ dàng sử dụng, dễ dàng xem những bộ phim mình yêu thích


",,,Giá Liên Hệ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaming,Laptop Gaming Acer Nitro 5 Eagle AN515-57-5669 NH.QEHSV.001,96,"Hiệu năng siêu cao, bộ nhớ dữ liệu lớn - Chip Intel Core i5-11400H, bộ nhớ 512GB SSD
Trải nghiệm hình ảnh chất lượng cao - Màn hình 15.6"", Full HD, tần số quét 144Hz
Card đồ hoạ rời NVIDIA® GeForce GTX™ 1650 cho hình ảnh mượt mà không giật lag
Năng lượng bất tận không lắng lo với viên pin 57Wh
",,,17.490.000 đ,,Intel Core i5-11400H,8GB,DDR4 3200MHz. 2 khe tối đa 32GB,,"512GB PCIe NVMe SSD cắm sẵn (nâng cấp tối đa 2TB SSD PCIe Gen3, 8 Gb/s, NVMe và 2TB HDD 2.5-inch 5400 RPM)",Vỏ nhựa,,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),Tần số quét 144Hz,HD 720p,Có,Windows 11 Home SL,Wi-Fi 6 AX 1650i,v5.1,"2 Loa, DXT Audio","Ổ cứng SSD, Wi-Fi 6",57Wh Li-ion battery,363.4 (W) x 255 (D) x 23.9 (H) mm,2.2 kg,"1 x USB 3.2 Gen 2 port
2 x USB 3.2 Gen 1 ports
1 x Ethernet (RJ-45) port
1 x HDMI2.0
3.5 mm headphone/speaker jack
DC-in jack for AC adapter",,,,,NVIDIA GeForce GTX 1650 4 GB GDDR6,,,,
Sinh vien,Laptop MSI Modern 14 C11M-011VN,7,"Thiết kế đơn giản, cá tính, trẻ trung với tone màu đen bao phủ
Màn hình 14 inch Full HD cho trải nghiệm hình ảnh vô cùng sắc nét
CPU Intel core i3-1115G4 cùng 8GB RAM DDR4 xử lý mượt các tác vụ văn phòng: Word, Excel,...
Card đồ họa Intel UHD Graphics hỗ trợ chỉnh ảnh, dựng video đơn giản
Không gian lưu trữ rộng rãi với ổ cứng 512GB SSD
",,,9.490.000 đ,Intel UHD Graphics,"Intel Core i3-1115G4 (3.00 GHz, up to 4.10 GHz, 6MB, 2 lõi / 4 luồng)",8GB,DDR4 Onboard 3200MHz,,512GB NVMe PCIe SSD,,,Không,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),"Tần số quét 60Hz
Độ phủ màu 45% NTSC",HD type (30fps@720p),Có,Windows 11 Home,Wi-Fi 6 802.11 ax,Bluetooth 5.2,,"Ổ cứng SSD, Wi-Fi 6","3 cell , 39Whr",319.9 x 223 x 19.35 mm (Dài x Rộng x Cao),1.4 kg,"1x Type-C USB 3.2 Gen2 (Sạc PD)
1x Type-A USB 3.2 Gen2
2x Type-A USB2.0
1x (4K @ 60Hz) HDMI
1x Mic-in/Headphone-out
1x Micro SD",,Đèn Led trắng,,,,,,,
Van phong,Laptop MSI Modern 14 C11M-011VN,7,"Thiết kế đơn giản, cá tính, trẻ trung với tone màu đen bao phủ
Màn hình 14 inch Full HD cho trải nghiệm hình ảnh vô cùng sắc nét
CPU Intel core i3-1115G4 cùng 8GB RAM DDR4 xử lý mượt các tác vụ văn phòng: Word, Excel,...
Card đồ họa Intel UHD Graphics hỗ trợ chỉnh ảnh, dựng video đơn giản
Không gian lưu trữ rộng rãi với ổ cứng 512GB SSD
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop HP Pavilion 15-EG2035TX 6K781PA,10,"I5 1235U - Xử lý tốt các tác vụ văn phòng
8GB Ram cho khả năng xử lý đa nhiệm tốt, có thể tháo ra nâng cấp
Card đồ hoạ MX550 - Chỉnh sửa ảnh trên PTS hay giải trí nhẹ nhàng với các tựa game
Màn hình lớn 15.6 inch thoả sức làm việc hay giải trí
",,,19.090.000 đ,,Intel® Core™ i5-1235U,8GB,8GB DDR4 3200MHz (2 x 4GB),,512 GB PCIe® NVMe™ M.2 SSD,,,,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),"IPS, micro-edge, BrightView, 250 nits, 45% NTSC",,,Windows 11 Home,MediaTek Wi-Fi 6 MT7921 (2x2),v5.2,,"Ổ cứng SSD, Wi-Fi 6","3-cell, 41 Wh Li-ion",36.02 x 23.4 x 1.79 cm,1.74 kg,"1 USB Type-C®
2 SuperSpeed USB Type-A
1 HDMI 2.1
1 headphone/microphone",,,,,,,NVIDIA® GeForce® MX550 2GB GDDR6,,
Sinh vien,Laptop Asus Vivobook 15 X1504ZA-NJ582W,0,"Chip Intel Core i3 1215U vận hành nhanh chóng các tác vụ văn phòng, doanh nghiệp trên Word, Excel,...
Card Intel UHD Graphics dễ dàng tinh chỉnh hình ảnh, video cơ bản hay chơi một số tựa game nhẹ
RAM 8 GB đa nhiệm thêm hiệu quả, mở nhiều tab Chrome mà không lo giật lag
Ổ cứng SSD 512 GB cho phép bạn tải nhiều tài liệu, hình ảnh và video
",,,10.690.000 đ,Intel UHD Graphics,"Intel Core i3-1215U (1.2 GHz, 10M Cache, up to 4.4 GHz, 6 lõi)",8GB,DDR4 Onboard,,512GB M.2 NVMe PCIe 4.0 SSD,Vỏ nhựa,"McAfee LiveSafe 30 ngày dùng thử miễn phí
Cảm biến vân tay tích hợp Touchpad
McAfee LiveSafe
Khởi động BIOS bảo vệ mật khẩu người dùng
Mật khẩu người dùng thiết lập BIOS
Mô-đun nền tảng đáng tin cậy (Firmware TPM)",Không,,15.6 inches,1920 x 1080 pixels (FullHD),"Độ sáng 250nits
Độ phủ màu 45% NTSC
Màn hình chống chói
TÜV Rheinland-certified",720p HD với màn trập camera,,Windows 11 Home,Wi-Fi 6E (802.11ax) (Dual band) 1*1,Bluetooth 5.3,"SonicMaster
Loa tích hợp
Micrô mảng tích hợp","Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay","42WHrs, 3S1P, 3-cell Li-ion",35.97 x 23.25 x 1.79 ~ 1.79 cm (W x H x D),1.70 kg,"1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-C
2x USB 3.2 Gen 1 Type-A
1x HDMI 1.4
1x DC-in",60 Hz,,,,,,,,
Sinh vien,Laptop HP 14S-DQ2620TU 6K774PA,0,"Intel Core Intel® Core™ i3-1115G4 - Xử lý mượt mà các tác vụ văng phòng hằng ngày
Bàn phím fullsize, độ nảy cao - Cho trải nghiệm gõ văn bản tốt hơn
Kết nối Bluetooth 5.0 cho phép kết nối với các thiết bị không dây
Màn hình kích thước 14 inch cùng tấm nền IPS cho góc nhìn rộng
",,,Giá Liên Hệ,,Intel Core i3-1115G4,4GB,DDR4 tốc độ bus 3200 MHz,,256GB PCIe NVMe M.2 SSD,Vỏ nhựa,,Không,Tấm nền IPS,14 inches,1366 x 768 pixels,,720P,Có,Windows 11 Home SL,802.11a/b/g/n/ac,v5.0,2 Loa,Ổ cứng SSD,"3-cell, 41 Wh Li-ion",32.4 x 22.5 x 1.79 cm,1.46kg,"1 SuperSpeed USB Type-C® 5Gbps
2 SuperSpeed USB Type-A 5Gbps
1 HDMI 1.4b
1 combo mic tai nghe 3.5 mm
1 khe đọc thẻ nhớ",,,,,,,,,
Sinh vien,Laptop MSI Modern 14 B11MOU-1065VN,21,"Laptop học tập - văn phòng cực mỏng nhẹ với trọng lượng chỉ 1.3 kg
CPU Intel Core i7-1195G7 cân mọi tác vụ văn phòng như: Word, Excel, PowerPoint,...
Card đồ họa Intel Iris Xe Graphics thoải mái chạy các ứng dụng văn phòng cơ bản hay các phần mềm thiết kế đơn giản
RAM 8 GB chuẩn DDR4 giúp thao tác đa nhiệm mượt mà hơn
Khởi động máy, ứng dụng nhanh chóng chỉ trong vài giây nhờ ổ cứng SSD 512 GB PCIe NVMe
Độ phủ màu 45% NTSC, 63% sRGB hỗ trợ thiết kế, làm việc với màu sắc chuẩn xác
",4.0/5,1.0,13.990.000₫,Intel Iris Xe Graphics,"Intel Core i7-1195G7 (2.9GHz up to 5.0GHz, 12MB)",8GB,DDR4 3200MHz,2 khe (Nâng cấp tối đa 64GB),512GB PCIe NVMe M.2 SSD (1 slot),,,Không,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),"Tần số quét 60Hz
Độ phủ màu 45% NTSC, 63% sRGB
Thin Bezel",HD type (30fps@720p),Có,Windows 11 Home,Wi-Fi 6 802.11 ax,Bluetooth 5.1,,"Ổ cứng SSD, Wi-Fi 6","3 Cell, 39Whr",319 x 219 x 16.9 mm,1.3 kg,"1x Type-C USB3.2 Gen 2
2x Type-A USB3.2 Gen 1
1x Micro SD
1x HDMI (4K @ 60Hz)",,"Có đèn nền (1 màu, trắng)",,,,,,,
Van phong,Laptop Lenovo Yoga Slim 7 14ACN6 82N7002MVN,3,"Thiết kế sang trọng - vỏ kim loại chắc chắn, nặng chỉ 1,4kg
8GB Ram onboard - đa nhiệm tốt hơn, cho phép mở nhiều ứng dụng cùng lúc
Thoải mái lưu trữ tài liệu, khởi động nhanh chóng - 512GB SSD
Card đồ hoạ AMD Radeon - Chỉnh sửa ảnh trên PTS hay AI hay giải trí qua các tựa game nhẹ nhàng
",,,20.490.000 đ,AMD Radeon Graphics,AMD Ryzen 5 5600U,8GB,"LPDDR4x
Tốc độ bus 4266","Ram onboard, không hỗ trợ nâng cấp","512GB SSD M.2 2280 PCIe 3.0x4 NVMe
Có thể tháo ra nâng cấp tối đa 1TB",Vỏ kim loại,"Chip bảo mật TMP
Khoá che camera",Có,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),"Cảm ứng, độ sáng 300nits
Hỗ trợ dải màu 72% NTSC",720P,,Windows 11 Home SL,"Wi-Fi 6 11ax, 2x2",v5.0,"Loa kép, 2W x2, công nghệ Dolby Atmos, Smart Amplifier (AMP)","Ổ cứng SSD, Wi-Fi 6, Màn hình cảm ứng, Xoay gập 360 độ (2 in 1)",71Wh,320.4 x 214.6 x 15.68-17.7 mm,1.45kg,"1x USB 3.2 Gen 1
2x USB-C 3.2 Gen 1
1x Combo jack tai nghe 3.5mm",,LED đơn sắc,,,,,,,
